ZONE,SYMBOL,ENTRY,STOP_LOSS,TARGET,TRADE_INSTRUMENT,EXCHANGE,TRADE_INSTRUMENT_TYPE,LOT_SIZE
3,TORNTPOWER,345,350.7,300,TORNTPOWER20JULFUT,NFO,FUTURES,3000
7,VEDL,118.3,122.2,112.385,VEDL20JULFUT,NFO,FUTURES,3500
10,SUNPHARMA,520,536.5,494,SUNPHARMA20JULFUT,NFO,FUTURES,1250
12,WIPRO,199.2,196,209.16,WIPRO20JULFUT,NFO,FUTURES,3200
13,ASIANPAINT,1914,1971,1818.3,ASIANPAINT20JULFUT,NFO,FUTURES,600
14,TITAN,891,868.5,935.55,TITAN20JULFUT,NFO,FUTURES,750
15,NIFTY 50,9346,9304,9813.3,NIFTY20JULFUT,NFO,FUTURES,75
16,TORNTPHARM,2660,2700,2527,TORNTPHARM20JULFUT,NFO,FUTURES,500
17,NIFTY BANK,18960,18710,19908,BANKNIFTY20JUL15100CE,NFO,OPTION,25
18,RELIANCE,1580,1560,1659,RELIANCE20JULFUT,NFO,FUTURES,505
19,TORNTPHARM,1983,1936,2082.15,TORNTPHARM20JUL1950CE,NFO,OPTION,500
20,AUROPHARMA,618,603,648.9,AUROPHARMA20JULFUT,NFO,FUTURES,1000
21,BIOCON,322,315,338.1,BIOCON20JULFUT,NFO,FUTURES,2300
23,ADANIENT,197,205,187.15,ADANIENT20JULFUT,NFO,FUTURES,4000
24,NIFTY BANK,17600,17100,18480,BANKNIFTY20JUL14400CE,NFO,OPTION,25
25,SUNPHARMA,380,365,399,SUNPHARMA20JUL360CE,NFO,OPTION,1250
26,NIFTY BANK,27000,28050,25650,BANKNIFTY20AUGFUT,NFO,FUTURES,25
27,TATASTEEL,414,425,393.3,TATASTEEL20JULFUT,NFO,FUTURES,1500
28,BANDHANBNK,267,260,280.35,BANDHANBNK20JULFUT,NFO,FUTURES,1800
29,ZEEL,220,226.5,209,ZEEL20JULFUT,NFO,FUTURES,1700
30,TECHM,731,753.7,694.45,TECHM20JULFUT,NFO,FUTURES,1200
33,TCS,2100,2075,2250,TCS20JULFUT,NFO,FUTURES,250
35,RELIANCE,1965,1982,1920,RELIANCE20AUGFUT,NFO,FUTURES,505
36,NIFTY 50,11300,11433,10500,NIFTY20AUGFUT,NFO,FUTURES,75
37,INFY,837,823,900,INFY20AUGFUT,NFO,FUTURES,1200
38,NIFTY 50,11150,11180,11060,NIFTY20AUG11000PE,NFO,OPTION,75
