ZONE,SYMBOL,ENTRY,STOP_LOSS,TARGET,TRADE_INSTRUMENT,EXCHANGE,TRADE_INSTRUMENT_TYPE,ZONE_STATUS,LOT_SIZE
14,BAJAJFINSV,5632,5564,6150,BAJAJFINSV20AUG6500CE,NFO,OPTION,PENDING,125
15,GAIL,108.6,111.4,97,GAIL20AUG95PE,NFO,FUTURES,PENDING,6100
16,BOSCHLTD,11850,11630,12500,BOSCHLTD20AUGFUT,NFO,FUTURES,PENDING,50
17,ITC,218,223,3200,ITC20AUG200PE,NFO,OPTION,PENDING,3200
18,TATASTEEL,415.8,426,390,TATASTEEL20AUG360PE,NFO,OPTION,PENDING,1700
19,M&M,532,523.9,560,M&M20AUGFUT,NFO,FUTURES,PENDING,1400
20,BPCL,397,392,410,BPCL20AUGFUT,NFO,FUTURES,PENDING,1800
21,BAJAJFINSV,5492,5427,6150,BAJAJFINSV20AUGFUT,NFO,FUTURES,PENDING,125
22,TECHM,770,784,734,TECHM20AUG680PE,NFO,OPTION,PENDING,1200
23,BAJFINANCE,2835,2769,2950,BAJFINANCE20AUG3100CE,NFO,OPTION,PENDING,250
24,BALKRISIND,1435,1454,1350,BALKRISIND20AUGFUT,NFO,FUTURES,PENDING,800
25,JINDALSTEL,200,203.5,192,JINDALSTEL20AUG175PE,NFO,OPTION,PENDING,5000
26,COLPAL,1550,1567,1470,COLPAL20AUG1400PE,NFO,OPTION,PENDING,700
27,NIFTY BANK,18960,18710,20000,BANKNIFTY20AUGFUT,NFO,FUTURES,PENDING,25
28,MARUTI,5375,5304,5580,MARUTI20AUGFUT,NFO,FUTURES,PENDING,100
29,HAVELLS,492,485,520,HAVELLS20AUGFUT,NFO,FUTURES,PENDING,1000
30,ACC,1232,1220,1280,ACC20AUGFUT,NFO,FUTURES,PENDING,500
31,TITAN,881,868,940,TITAN20AUGFUT,NFO,FUTURES,PENDING,750
